	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14
FASLG	0	1	1	1	1	1	1	1	1	1	1	1	1	1
FGF1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
HIF1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
IKBANFKB1RELA_complex	1	1	1	0	1	1	1	1	1	1	1	1	1	1
IL17A_Extracellular_space_Space	1	1	1	1	0	1	1	1	1	1	1	1	1	1
IL18	1	1	1	1	1	0	1	1	1	1	1	1	1	1
IL6_Extracellular_space_Space	1	1	1	1	1	1	0	1	1	1	1	1	1	1
MIR192_rna	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PDGFA	1	1	1	1	1	1	1	1	0	1	1	1	1	1
RANKL	1	1	1	1	1	1	1	1	1	0	1	1	1	1
SFRP5	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TGFB1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
TNF_Extracellular_space_Space	1	1	1	1	1	1	1	1	1	1	1	1	0	1
WNT5A	1	1	1	1	1	1	1	1	1	1	1	1	1	0
M_atp_c_simple_molecule	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M_glc_D_e_simple_molecule	1	1	1	1	1	1	1	1	1	1	1	1	1	1